127.0.0.1 - - [02/May/2018:11:36:20 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:02 -0300] "GET /Vendas/faces/javax.faces.resource/primefaces-sam/images/ui-icons_454545_256x240.png HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:13 -0300] "GET /Vendas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 20259
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:13 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:13 -0300] "GET /Vendas/faces/javax.faces.resource/excel.png?ln=images HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:13 -0300] "GET /Vendas/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 200 41988
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:13 -0300] "GET /Vendas/faces/javax.faces.resource/pdf.png?ln=images HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:14 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:17 -0300] "GET /Vendas/faces/pages/produtoCadastro.xhtml?procod=7&proacao=Excluir HTTP/1.1" 200 12232
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:17 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:17 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:20 -0300] "POST /Vendas/faces/pages/produtoCadastro.xhtml HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:23 -0300] "GET /Vendas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 20261
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:23 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:23 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:25 -0300] "GET /Vendas/faces/pages/produtoCadastro.xhtml?procod=6&proacao=Editar HTTP/1.1" 200 12165
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:26 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:26 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:31 -0300] "POST /Vendas/faces/pages/produtoCadastro.xhtml HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:33 -0300] "GET /Vendas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 20256
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:33 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:33 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:40 -0300] "GET /Vendas/faces/pages/fornecedorPesquisa.xhtml HTTP/1.1" 200 15491
